Name,Transliteral Name,Artist,Composition,Arrangement,Genre,BPM,Length,Beginner Rating,Beginner Note Count,Beginner Charge Notes,SPN Rating,SPN Note Count,SPN Charge Notes,SPN Backspin Scratches,SPN Hell Charge Notes,SPN Hell Backspin Scratches,SPH Rating,SPH Note Count,SPH Charge Notes,SPH Backspin Scratches,SPH Hell Charge Notes,SPH Hell Backspin Scratches,SPA Rating,SPA Note Count,SPA Charge Notes,SPA Backspin Scratches,SPA Hell Charge Notes,SPA Hell Backspin Scratches,SPL Rating,SPL Note Count,SPL Charge Notes,SPL Backspin Scratches,SPL Hell Charge Notes,SPL Hell Backspin Scratches,DPN Rating,DPN Note Count,DPN Charge Notes,DPN Backspin Scratches,DPN Hell Charge Notes,DPN Hell Backspin Scratches,DPH Rating,DPH Note Count,DPH Charge Notes,DPH Backspin Scratches,DPH Hell Charge Notes,DPH Hell Backspin Scratches,DPA Rating,DPA Note Count,DPA Charge Notes,DPA Backspin Scratches,DPA Hell Charge Notes,DPA Hell Backspin Scratches,DPL Rating,DPL Note Count,DPL Charge Notes,DPL Backspin Scratches,DPL Hell Charge Notes,DPL Hell Backspin Scratches,First Music Game Appearance,Other Music Game Appearances,Video Jockey,RemyWiki Link
Carmina,Carmina,CANVAS feat. Quimär,CANVAS,CANVAS,SYMPHONIC TRANCECORE,195,2:07,,,,6,683,46,1,,,10,1292,41,1,,,12,2000,54,1,,,,,,,,,6,701,39,,,,10,1273,48,1,,,12,2000,57,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""NAGI""",https://remywiki.com/Carmina
Carry Me Away,Carry Me Away,lapix,lapix,lapix,FUTURE CORE,175,2:00,,,,7,575,1,,,,9,933,1,,,,12,1613,5,1,,,,,,,,,6,595,1,,,,9,957,1,,,,12,1568,,1,,,,,,,,,SOUND VOLTEX IV HEAVENLY HAVEN,beatmania IIDX 26 Rootage,板垣聖一(IMAGICA),https://remywiki.com/Carry_Me_Away
Catch Our Fire!,Catch Our Fire!,中島由貴,Konami Amusement (Akhuta),Konami Amusement (Akhuta),MARVELOUS CHEER,190,2:03,,,,6,699,,,,,10,1186,,,,,12,1885,,,,,,,,,,,6,691,,,,,10,1198,,,,,12,1888,,,,,,,,,,,GITADORA EXCHAIN / SOUND VOLTEX IV HEAVENLY HAVEN / ノスタルジア Op.2,"beatmania IIDX 26 Rootage, DanceDanceRevolution A, jubeat festo, pop'n music peace",BEMANI Designers,https://remywiki.com/Catch_Our_Fire!
CODE:∅,CODE:0,"BEMANI Sound Team ""HEXA""",Konami Amusement (Yoshihiro Tagawa),Konami Amusement (Yoshihiro Tagawa),BIG BEAT,125,2:03,,,,5,726,,,,,9,1120,,,,,11,1454,,,,,,,,,,,6,738,,,,,10,1086,,,,,11,1382,,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""KINRUI""",https://remywiki.com/CODE:0
CoMAAAAAAA,CoMAAAAAAA,Ryu☆,Ryu☆,Ryu☆,UPLIFTING ETHNIC,150,2:00,,,,6,643,,,,,9,1068,,,,,10,1208,,,,,,,,,,,6,640,,,,,9,1151,,,,,10,1304,,,,,,,,,,,beatmania IIDX 26 Rootage,,VJ Routes,https://remywiki.com/CoMAAAAAAA
COSMIC CYBER,COSMIC CYBER,"BEMANI Sound Team ""Captain Sonic""",Konami Amusement (Captain Sonic),Konami Amusement (Captain Sonic),BIGCORE,170,1:50,,,,5,524,,,,,9,892,,,,,11,1469,,,,,,,,,,,6,531,,,,,9,835,,,,,11,1325,,,,,,,,,,,beatmania IIDX 26 Rootage,,magarikado,https://remywiki.com/COSMIC_CYBER
Cranberry City ft. Luschel,Cranberry City ft. Luschel,lapix,lapix,lapix,GARAGE,138,2:01,,,,5,433,17,,,,8,816,35,,,,10,1234,28,,,,,,,,,,5,447,22,,,,8,792,32,,,,10,1272,32,,,,,,,,,,beatmania IIDX 26 Rootage,,VJ GYO,https://remywiki.com/Cranberry_City_ft._Luschel
dAuntl3ss,DAuntl3ss,DJ Noriken,DJ Noriken,DJ Noriken,HARDER DANCE MUSIC,166,2:01,,,,6,542,,,,,10,1018,,,,,12,1775,,,,,,,,,,,6,584,,,,,10,1157,,,,,12,1770,,,,,,,,,,,beatmania IIDX 26 Rootage,,Seventhgraphics,https://remywiki.com/DAuntl3ss
Digital Skipper,Digital Skipper,"BEMANI Sound Team ""Expander""",Konami Amusement(Sota Fujimori),Konami Amusement(Sota Fujimori),HYBRID,150,1:57,,,,6,504,,,,,8,807,,,,,10,1133,,,,,,,,,,,6,500,,,,,8,804,,,,,10,1142,,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""minoru""",https://remywiki.com/Digital_Skipper
Dr. Chemical & Killing Machine,Dr. Chemical & Killing Machine,Hommarju,Hommarju,Hommarju,INDUSTRIAL TECHNO,165,1:57,,,,5,567,,,,,9,964,,,,,12,1700,,,,,,,,,,,5,586,,,,,9,978,,,,,12,1919,,,,,,,,,,,beatmania IIDX 26 Rootage,,Hiromitsu Kawasaki,https://remywiki.com/Dr._Chemical_%26_Killing_Machine
Drastic Dramatic,Drastic Dramatic,KING & Princess,KING & Princess,KING & Princess,8BARS,166,1:59,,,,7,800,,,,,10,1231,,,,,12,1765,,,,,,,,,,,7,782,,,,,10,1253,,,,,12,1736,,,,,,,,,,,beatmania IIDX 26 Rootage,,"F-FLY (overlays by BEMANI Designers ""kyunkyun"")",https://remywiki.com/Drastic_Dramatic
DRUNK MONKY,DRUNK MONKY,DJ ODDBALL,Hiroshi Watanabe,Hiroshi Watanabe,MINIMAL,145,1:21,,,,7,524,,,,,10,833,,,,,12,1177,,,,,,,,,,,7,593,,,,,9,862,,,,,11,1104,,,,,,,,,,,beatmania 4thMIX -the beat goes on-,"beatmania IIDX 13 DistorteD CS, beatmania IIDX 26 Rootage, beatmania III",VJ GYO (beatmania IIDX),https://remywiki.com/DRUNK_MONKY
Ember Lights,Ember Lights,Nhato,Nhato,Nhato,FUSION TRANCE,148,1:57,,,,5,491,9,,,,9,842,22,,,,11,1369,23,,,,,,,,,,5,530,23,,,,9,863,34,,,,11,1296,33,,,,,,,,,,beatmania IIDX 26 Rootage,,Hanamori Hiro,https://remywiki.com/Ember_Lights
EVANESCENT,EVANESCENT,SOUND HOLIC feat. Nana Takahashi,GUCCI,"709sec., GUCCI",PROGRESSIVE ROCK,127-165,2:02,,,,6,661,7,,,,10,1241,7,,,,12,1845,19,,,,,,,,,,6,660,7,,,,10,1174,7,,,,12,1820,20,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""まゆずみ""",https://remywiki.com/EVANESCENT
Garuda,Garuda,kors k,kors k,kors k,JUKE/FOOTWORK,160,1:44,,,,5,541,,,,,9,842,6,,,,11,1323,6,,,,,,,,,,6,541,,,,,9,876,6,,,,11,1319,6,,,,,,,,,,DANCERUSH STARDOM,beatmania IIDX 26 Rootage,XTC,https://remywiki.com/Garuda
Geirskögul,Geirskogul,Maozon,Maozon,Maozon,CYBER DRUMSTEP,177,2:07,,,,5,545,28,,,,8,808,35,,,,10,1128,24,1,,,,,,,,,5,555,29,,,,8,745,31,,,,10,1122,33,2,,,,,,,,,beatmania IIDX 26 Rootage,,murAta Yuzi,https://remywiki.com/Geirskogul
GENE,GENE,VINCENT GANATCH,Hommarju,Hommarju,TECHNO GRAFFITI,163,"2:06 (NORMAL), 1:55 (HYPER), 2:20 (ANOTHER)",,,,7,664,,,,,10,1009,18,,,,12,2183,,,,,,,,,,,7,659,,,,,9,990,26,,,,12,1986,,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""NAGI""",https://remywiki.com/GENE
GIGA THRASH,GIGA THRASH,Blacklolita,Blacklolita,Blacklolita,DUBSTEP,150,2:01,,,,6,643,,,,,9,970,,,,,11,1400,,,,,,,,,,,7,662,,,,,9,1002,,,,,12,1503,,,,,,,,,,,beatmania IIDX 26 Rootage,,Lynx,https://remywiki.com/GIGA_THRASH
Glory,Glory,kradness,"kradness, kors k",kors k,EDM,134,2:03,,,,4,390,,,,,7,855,,,,,9,1185,,,,,,,,,,,4,376,,,,,7,838,,,,,10,1168,,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""minoru""",https://remywiki.com/Glory
GO OVER WITH GLARE -ROOTAGE 26-,GO OVER WITH GLARE -ROOTAGE 26-,"BEMANI Sound Team ""L.E.D.-G""",Konami Amusement (L.E.D.-G),Konami Amusement (L.E.D.-G),HARDSTYLE,170,2:02,,,,6,548,12,,,,10,1160,24,,,,12,2000,36,,,,,,,,,,6,558,12,,,,10,1129,24,,,,12,1769,36,,,,,,,,,,beatmania IIDX 26 Rootage,,"IIDX Designers (GOLI, HES, VJ GYO, NAGI)",https://remywiki.com/GO_OVER_WITH_GLARE_-ROOTAGE_26-
HARD BRAIN,HARD BRAIN,AJURIKA,AJURIKA,AJURIKA,HARD TECHNO,155,2:08,,,,6,701,8,,,,9,1044,16,,,,12,1914,25,,,,,,,,,,6,706,9,,,,9,1095,10,1,,,12,1903,26,1,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""chie""",https://remywiki.com/HARD_BRAIN
HEISEI,HEISEI,"BEMANI Sound Team ""dj TAKA""",Konami Amusement(dj TAKA),Konami Amusement(dj TAKA),ELECTRONIC RHAPSODY,152,2:03,,,,6,590,26,,,,10,992,30,,,,11,1291,32,,,,,,,,,,6,581,26,,,,10,1033,30,,,,11,1323,30,,,,,,,,,,beatmania IIDX 26 Rootage,beatmania IIDX ULTIMATE MOBILE,Taiyo Yamamoto,https://remywiki.com/HEISEI
HOT LIMIT,"HOT LIMIT (Remixed by BEMANI Sound Team ""HuMer feat.PON"")","Remixed by BEMANI Sound Team ""HuΣeR feat.PON""",Daisuke Asakura,Konami Amusement(Aritomo Hamada),IIDX EDITION,170,2:02,2,203,,5,537,,,,,9,871,,,,,10,1281,,,,,,,,,,,5,458,,,,,9,854,,,,,10,1346,,,,,,,,,,,beatmania IIDX 26 Rootage,,Fukutomi WAVE,https://remywiki.com/HOT_LIMIT_(Remixed_by_BEMANI_Sound_Team_%22HuMer_feat.PON%22)
Hurry Hurry,Hurry Hurry,Masayoshi Iimori,Masayoshi Iimori,Masayoshi Iimori,RAVE SXXX,160,1:54,,,,4,380,,,,,6,527,,,,,9,1045,,,,,,,,,,,4,379,,,,,6,527,,,,,9,1032,,,,,,,,,,,beatmania IIDX 26 Rootage,,Minako Endo,https://remywiki.com/Hurry_Hurry
IDC feat.REVERBEE (Mo'Cuts Ver),IDC feat.REVERBEE (Mo'Cuts Ver),DJ Mass MAD Izm*,DJ Mass MAD Izm*,DJ Mass MAD Izm*,TECH-BREAKS,140,1:58,,,,7,557,,2,,,9,818,,2,,,11,1145,,2,,,,,,,,,7,553,,2,,,10,779,,2,,,11,1017,,2,,,,,,,,,beatmania IIDX 26 Rootage,,cap,https://remywiki.com/IDC_feat.REVERBEE_(Mo%27Cuts_Ver)
IDOL syndrome.,IDOL syndrome.,RINA,KAZUYA TAKASE,KAZUYA TAKASE,PSYCHEDELIC ROCK,145,2:08,,,,4,382,16,,,,7,738,22,,,,10,1109,27,,,,,,,,,,4,397,17,,,,7,720,27,,,,10,1183,31,,,,,,,,,,beatmania IIDX 26 Rootage,,"板垣聖一 (overlays by BEMANI Designers ""NAGI"")",https://remywiki.com/IDOL_syndrome.
KILL EACH OTHER,KILL EACH OTHER,"BEMANI Sound Team ""L.E.D. VS. L.E.D.-G""",Konami Amusement(L.E.D.),Konami Amusement(L.E.D.-G),PSYSTYLE,162,2:12,,,,7,711,,,,,10,1270,,,,,12,1945,,,,,,,,,,,7,713,,,,,10,1248,,,,,12,1889,,,,,,,,,,,beatmania IIDX 26 Rootage,beatmania IIDX ULTIMATE MOBILE,"BEMANI Designers ""NAGI""",https://remywiki.com/KILL_EACH_OTHER
L.F.O,L.F.O,aran,aran,aran,UK HARDCORE,180,2:05,,,,5,444,,,,,9,898,,2,,,12,1687,,2,,,,,,,,,5,448,,,,,9,847,,2,,,12,1697,,2,,,,,,,,,beatmania IIDX 26 Rootage,,"pam, Ta-k(DRAWIZ,Inc.)",https://remywiki.com/L.F.O
LADYBIRD,LADYBIRD,YUC'e,YUC'e,YUC'e,GLITCH HOP,230,1:48,,,,7,572,,,,,9,865,,,,,11,1258,,4,,,,,,,,,7,601,,,,,9,894,,4,,,11,1253,1,4,,,,,,,,,beatmania IIDX 26 Rootage,,"F-FLY (overlays by BEMANI Designers ""ちっひ"")",https://remywiki.com/LADYBIRD
Let me be your cure,Let me be your cure,Pizuya's Cell,pizuya,Pizuya's Cell,ELECTRONIC DANCE ROCK,192,2:10,,,,5,573,,,,,7,718,,,,,10,1344,,,,,,,,,,,5,631,,,,,8,879,,,,,10,1354,,,,,,,,,,,beatmania IIDX 26 Rootage,,F-FLY,https://remywiki.com/Let_me_be_your_cure
Lethal Weapon,Lethal Weapon,"BEMANI Sound Team ""HuΣeR""",Konami Amusement (Aritomo Hamada),Konami Amusement (Aritomo Hamada),RECKLESS HARDCORE,90-180,2:01,,,,6,598,,,,,9,961,2,,,,12,1646,2,1,,,,,,,,,6,597,,,,,9,1053,5,,,,12,1684,2,1,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""HES"" (overlays by BEMANI Designers ""NAGI"")",https://remywiki.com/Lethal_Weapon
Level One,Level One,Yamato,Yamato,Yamato,Drumstep / DnB,173,2:08,,,,6,647,26,,,,10,1182,30,2,,,12,1857,28,4,,,,,,,,,7,750,24,,,,10,1149,28,4,,,12,1872,28,4,,,,,,,,,beatmania IIDX 26 Rootage,,murAta Yuzi,https://remywiki.com/Level_One
Lift Us High,Lift Us High,"BEMANI Sound Team ""Sota Fujimori""",Konami Amusement (Sota Fujimori),Konami Amusement (Sota Fujimori),MELODIC TRANCE,150,2:08,,,,5,494,,,,,8,808,,,,,10,1247,,,,,,,,,,,5,490,,,,,8,777,,,,,10,1252,,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""NANTOMO""",https://remywiki.com/Lift_Us_High
LOST TECHNOLOGIE,LOST TECHNOLOGIE,かめりあ,Camellia,Camellia,TECHNO,157,2:04,,,,5,590,1,,,,9,984,1,,,,12,1822,32,,,,,,,,,,5,644,2,,,,9,1009,2,,,,12,1849,1,1,,,,,,,,,beatmania IIDX 26 Rootage,,"Hiromitsu Kawasaki (overlays by BEMANI Designers ""mayo"")",https://remywiki.com/LOST_TECHNOLOGIE
Mächö Mönky,Macho Monky,kors k,kors k,kors k,JUNGLE TERROR,150,2:00,,,,6,754,,2,,,10,1123,,2,,,12,1588,,2,,,,,,,,,6,643,,2,,,10,1100,,2,,,12,1522,,2,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""NAGI""",https://remywiki.com/Macho_Monky
Necroxis Girl,Necroxis Girl,"BEMANI Sound Team ""HuΣeR""",Konami Amusement (HuΣeR),Konami Amusement (HuΣeR),GLITCH DUBSTEP,150,1:59,,,,6,601,13,,,,9,1027,18,1,,,11,1441,27,1,,,,,,,,,6,558,19,,,,9,962,17,,,,12,1505,16,1,,,,,,,,,jubeat clan,beatmania IIDX 26 Rootage,MatsuTK,https://remywiki.com/Necroxis_Girl
"Next Tales 2 Oath (IIDX 20th Anniv ""Ring"" Theme)","Next Tales 2 Oath (IIDX 20th Anniv ""Ring"" Theme)",Hommarju,Hommarju,Hommarju,THEME SONG,180,2:00,,,,5,457,1,,,,9,847,1,,,,11,1387,1,,,,,,,,,,5,519,1,,,,8,820,1,,,,11,1415,1,,,,,,,,,,beatmania IIDX 26 Rootage,,Ring Staff,https://remywiki.com/Next_Tales_2_Oath_(IIDX_20th_Anniv_%22Ring%22_Theme)
Night! Night! Night!,Night! Night! Night!,MM,MM,MM,EURO DYNAMITE,165,2:02,,,,6,609,,,,,9,931,,,,,11,1540,,,,,,,,,,,6,590,,,,,9,917,,,,,12,1486,,,,,,,,,,,beatmania IIDX 26 Rootage,,"板垣聖一 (overlays by BEMANI Designers ""VJ GYO"")",https://remywiki.com/Night!_Night!_Night!
ONIGOROSHI,ONIGOROSHI,m1dy,m1dy,m1dy,TOKYO STYLE SPEEDCORE,400,2:00,,,,6,597,28,4,,,10,1107,25,7,,,12,1541,8,26,,,,,,,,,6,584,28,4,,,10,1107,26,7,,,12,1503,8,27,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""いそにん""",https://remywiki.com/ONIGOROSHI
OVER TIME,OVER TIME,空中分解feat.アンテナガール,ku-tyu-bunkai,ku-tyu-bunkai,ELECTRO POP,134,2:01,,,,3,293,,,,,5,492,,,,,8,779,,,,,,,,,,,3,262,,,,,6,556,,,,,9,841,,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""minoru""",https://remywiki.com/OVER_TIME
Painful Fate,Painful Fate,"BEMANI Sound Team ""猫叉Master""",Konami Amusement (Naoyuki Sato),Konami Amusement (Naoyuki Sato),DRUM'N'BASS,192,2:09,,,,7,642,60,,,,10,1178,39,,,,12,1702,73,,,,,,,,,,7,683,59,,,,10,1112,46,,,,12,1677,62,,,,,,,,,,beatmania IIDX 26 Rootage,,"板垣聖一(IMAGICA) (overlays by BEMANI Designers ""T田"")",https://remywiki.com/Painful_Fate
Particle Arts,Particle Arts,Virtual Self,Virtual Self,Virtual Self,NEOTRANCE,162-178,2:05,,,,4,451,28,,,,8,844,27,,,,10,1266,64,,,,,,,,,,5,493,28,,,,8,885,35,,,,10,1335,84,,,,,,,,,,beatmania IIDX 26 Rootage,,140/fth:iyomaroo,https://remywiki.com/Particle_Arts
Playing With Fire,Playing With Fire,kors k,kors k,kors k,SPEED RAVE,160,1:45,,,,6,512,33,,,,9,866,33,,,,11,1200,33,,,,,,,,,,6,516,33,,,,9,814,33,,,,11,1113,33,,,,,,,,,,REFLEC BEAT colette -Spring-,"beatmania IIDX 26 Rootage, REFLEC BEAT plus MUSIC PACK 44, REFLEC BEAT + KONAMI MUSIC PACK 37, SOUND VOLTEX II -infinite infection-",板垣聖一,https://remywiki.com/Playing_With_Fire
Please Welcome Mr.C,Please Welcome Mr.C,C-Show,C-Show,C-Show,JAZZY HOLIC,230,1:53,,,,6,572,1,2,,,9,916,2,2,,,12,1522,8,4,,,,,,,,,6,583,1,2,,,9,932,10,1,,,12,1462,12,1,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""ちっひ""",https://remywiki.com/Please_Welcome_Mr.C
Psycho Sheep Riddim,Psycho Sheep Riddim,"BEMANI Sound Team ""SYUNN""",Konami Amusement(Shunsuke Sato),Konami Amusement(Shunsuke Sato),RIDDIM DUBSTEP,150,1:57,,,,3,324,,,,,7,512,28,,,,9,841,28,5,,,,,,,,,3,330,,,,,7,509,28,,,,9,842,28,5,,,,,,,,,beatmania IIDX 26 Rootage,,Hanamori Hiro,https://remywiki.com/Psycho_Sheep_Riddim
Re:Story,Re:Story,ももいろクローバーZ,invisible manners,invisible manners,J-POP,105,1:47,,,,3,218,,,,,7,572,,,,,10,990,,,,,,,,,,,3,218,,,,,7,582,,,,,10,1007,,,,,,,,,,,beatmania IIDX 26 Rootage,,?,https://remywiki.com/Re:Story
Red. by Jack Trance,Red. by Jack Trance,DJ Mass MAD Izm*,DJ Mass MAD Izm*,DJ Mass MAD Izm*,TECH-BREAKS,160,2:03,,,,7,770,,4,,,10,1122,,4,,,12,1862,,4,,,,,,,,,7,735,,4,,,10,1129,,4,,,12,1612,,4,,,,,,,,,beatmania IIDX 26 Rootage,,Hiromitsu Kawasaki,https://remywiki.com/Red._by_Jack_Trance
REPLAY,REPLAY,SLAKE,SLAKE,SLAKE,TECHNO,140,2:12,,,,4,478,,,,,8,840,,,,,10,1141,,,,,,,,,,,6,820,,,,,9,973,,,,,11,1505,,,,,,,,,,,beatmania IIDX 15 DJ TROOPERS CS,beatmania IIDX 26 Rootage,Noriaki Furuya,https://remywiki.com/REPLAY
"ROCK女 feat. 大山愛未, Ken","ROCK onna feat. Oyama Aimi, Ken",Y&Co.,Y&Co.,Y&Co.,TRANCE,150,2:03,,,,7,548,16,,,,9,954,21,,,,11,1436,36,,,,,,,,,,7,561,16,,,,9,997,23,,,,11,1435,38,,,,,,,,,,beatmania IIDX 26 Rootage,,VJ GYO,"https://remywiki.com/ROCK_onna_feat._Oyama_Aimi,_Ken"
